limit_balance,sex,marital_status,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,education_level,degree,default_payment_next_month
150000,2,2,35,0,0,0,0,0,0,3500,2000,20000,2000,2000,2000,97268,71876,50043,55182,48983,50136,2,university,0
120000,2,2,43,0,0,0,-1,0,0,77225,21903,25646,5080,0,5052,121427,60163,61723,25638,26092,14586,2,university,0
50000,2,2,22,0,0,0,0,0,0,20007,3014,1309,5009,2008,4622,36926,52845,52148,32718,32096,30563,3,high school,0
50000,2,1,31,0,0,0,0,0,-2,1652,1906,1000,0,0,0,44115,44619,38604,33570,0,0,3,high school,0
30000,2,2,23,0,0,0,0,0,0,1524,1537,1755,1207,1076,1188,33171,32678,32218,31963,30942,29945,3,high school,0
320000,1,2,28,-1,0,0,-1,0,0,2000,1000,1633,2000,0,3000,2007,3477,3037,1633,3633,0,1,graduate school,0
120000,2,2,32,-1,0,0,0,0,0,2429,3120,3300,10000,3200,3200,66551,67876,69903,71446,79589,81354,3,high school,0
50000,2,1,29,0,0,0,0,0,0,1815,2000,2000,1500,2000,1500,29719,30754,31939,33102,33918,35197,1,graduate school,0
100000,2,2,25,0,0,0,0,0,0,5000,2000,2030,3000,2000,2000,40083,44385,45117,25845,7141,9141,1,graduate school,0
200000,2,2,27,0,0,0,0,0,0,15186,10188,1074,209,112,2797,86192,67483,58112,23949,9270,4496,1,graduate school,0
120000,2,2,29,0,0,0,2,0,0,3000,2691,0,3000,2000,0,6385,9262,11793,11307,14102,15871,1,graduate school,1
500000,2,2,26,0,0,0,0,0,0,15943,27878,22572,17200,19843,96632,32637,35863,37860,42572,47200,59843,1,graduate school,0
80000,2,2,25,0,0,0,0,0,0,8213,3491,3508,19523,3288,1570,81003,85894,87061,89008,93523,80288,2,university,1
140000,2,1,34,0,0,0,0,0,0,7000,7000,5300,5300,10100,5400,132541,136186,139418,140962,137819,137094,2,university,0
100000,2,2,26,0,0,0,0,0,0,3326,8003,2745,2689,2896,2731,98542,82569,87486,84536,76008,69865,2,university,0
20000,2,2,22,0,0,2,0,0,2,5000,0,1000,1500,0,700,11192,15677,15133,15582,16677,16259,2,university,0
200000,2,2,24,0,0,0,0,0,-2,1330,1362,1000,2000,950,0,19326,20330,21362,22000,2000,950,2,university,0
150000,2,2,31,0,0,0,0,0,0,6000,2000,2000,1300,1500,1500,138363,138979,37713,35592,35808,36730,2,university,0
80000,2,1,45,0,0,0,0,0,0,2000,2000,1009,0,2000,0,17613,19009,20361,18722,12514,8905,2,university,0
20000,2,1,49,0,0,0,0,0,0,1543,1260,1270,594,617,1425,13561,14573,15290,16300,16624,16974,2,university,1
70000,1,2,36,0,0,0,0,0,0,2000,2000,2000,2000,3000,830,20857,22199,23834,25353,27075,28092,2,university,0
350000,2,2,33,0,0,0,0,0,0,50070,10000,8000,15036,30050,8110,293303,338272,177483,182381,194678,215024,2,university,0
150000,2,2,26,0,0,0,0,0,0,6000,6000,7000,5480,5400,5300,153070,149027,151632,151855,150713,148958,2,university,0
220000,2,2,29,0,0,0,0,0,0,4030,4000,4492,1000,1000,0,217345,100501,74430,64485,24609,23419,2,university,0
130000,2,1,43,0,0,0,0,0,0,5540,4403,3814,3562,4021,3681,130067,129385,96775,98071,97743,100124,3,high school,0
50000,1,2,52,0,0,0,0,0,0,29456,1300,675,694,704,798,47479,49344,19596,19194,19201,19199,3,high school,0
20000,1,2,43,0,0,0,0,0,0,1280,1304,1316,754,931,463,15921,16930,17954,18966,19404,19962,3,high school,1
40000,2,1,60,0,0,0,0,0,0,2000,3000,3000,6000,2000,2000,14019,15780,18519,21058,8204,9899,3,high school,0
150000,2,1,26,0,0,0,0,0,-2,7500,10000,2000,0,0,0,92802,91166,99655,100000,0,0,3,high school,0
110000,2,2,27,0,0,0,0,0,0,5340,4000,4600,4000,4450,4100,105979,108403,109172,111940,108594,111239,3,high school,0
90000,2,1,46,0,0,0,0,0,0,1120,1293,1150,500,400,400,5965,6978,8152,9009,9359,9460,3,high school,1
90000,2,1,35,2,0,0,0,0,2,2700,2500,1900,4600,0,1600,63426,57922,55010,52540,56236,40922,2,university,1
200000,1,1,58,0,0,0,0,0,0,7822,4417,4446,4597,4677,4698,192461,195970,122214,124647,126921,129167,1,graduate school,0
80000,2,2,22,0,0,0,0,0,0,3200,2229,1900,4000,5000,21000,78028,79347,76022,58897,54512,51937,1,graduate school,0
230000,2,2,37,0,0,2,0,0,-2,3500,700,0,0,0,0,9092,12509,12784,12584,0,0,1,graduate school,1
60000,2,2,28,0,0,0,0,0,0,3000,2000,1600,3000,2800,0,37878,35511,28894,21556,21494,21838,1,graduate school,0
400000,2,2,29,0,0,2,0,0,0,7017,0,3200,2750,3000,5800,74829,77970,70557,71867,72137,72955,1,graduate school,1
70000,1,2,31,0,0,0,0,0,0,6000,5000,10000,3000,5000,3000,47873,52440,55961,63341,64694,67905,1,graduate school,0
30000,1,2,30,0,0,0,0,0,0,1780,1752,1666,800,1161,3128,26061,27104,28076,25991,25429,26234,1,graduate school,0
500000,1,1,39,0,0,0,0,0,0,54209,4607,4603,5224,207440,7509,133598,167378,171106,174500,137406,204975,1,graduate school,0
230000,1,1,48,0,0,0,0,0,0,7000,6607,3773,4290,4164,2000,160879,161797,165107,105508,108101,110094,1,graduate school,0
180000,2,1,34,0,0,0,0,0,0,8083,7296,5253,4814,4816,3800,175886,173440,172308,168608,132202,129918,2,university,0
110000,2,2,23,0,0,0,0,0,0,5023,3900,2600,5000,3000,3000,106963,101958,85914,73638,72119,73764,2,university,0
150000,1,1,41,0,0,0,0,0,0,2000,3000,1000,1000,2000,2000,19350,20703,10403,10927,11598,13235,2,university,0
500000,2,2,37,0,0,0,0,0,0,5300,4000,3000,5300,5000,5000,51652,29550,33040,30757,35559,38981,2,university,0
50000,2,2,36,0,0,0,0,0,2,2000,1500,1000,1800,0,1000,94228,47635,42361,19574,20295,19439,2,university,1
140000,2,1,26,0,0,0,0,0,-1,7023,5080,10000,6000,902,18542,37283,24748,21854,21711,25999,902,2,university,0
70000,2,1,33,0,0,0,0,0,0,2011,1683,3160,3000,3000,5060,52901,43981,33439,24926,10681,7431,2,university,0
100000,2,2,32,0,0,0,0,0,0,3481,6006,3246,2994,2903,2849,101556,98734,98858,98259,80849,81151,2,university,0
500000,1,1,41,0,0,0,0,0,0,20000,20241,20154,20019,20151,20037,155820,171565,184782,152365,139757,153348,2,university,0
50000,1,2,24,0,0,0,0,0,0,5000,1700,2000,500,500,500,19267,23553,21507,17827,7655,7881,2,university,0
240000,2,1,32,0,0,0,0,0,0,8000,1500,5000,1000,3000,2666,53286,16920,12869,14497,12262,8331,2,university,0
230000,2,2,30,0,0,0,0,0,0,2847,2303,2284,2280,2345,2333,62988,63056,63741,64096,64473,64927,2,university,0
400000,2,1,24,0,0,0,0,0,0,5519,44776,1502,2026,1015,52100,187790,176294,190256,89128,39276,23440,2,university,0
60000,2,2,24,0,0,-1,2,0,0,3015,4102,0,1000,1500,1000,8086,6936,4102,3891,4669,6083,2,university,0
130000,2,2,27,0,0,0,0,0,0,5400,3941,1742,1671,1712,1730,124769,127966,119008,46659,47588,47698,3,high school,0
100000,2,1,58,0,0,0,0,0,0,3589,3656,3677,2763,2787,2881,96821,98389,97831,93937,78063,79707,3,high school,0
100000,1,2,36,2,0,0,0,0,2,4400,1028,3120,6218,4016,4536,38546,42298,42636,44728,49192,51391,3,high school,0
200000,1,2,26,0,0,0,0,0,0,5023,4007,5001,10020,5073,5064,16811,21290,20207,23858,33236,33337,1,graduate school,0
300000,2,1,36,0,0,0,0,0,0,9251,10505,9157,9319,9600,8500,272899,254078,252427,254160,250645,245851,1,graduate school,0
50000,1,2,34,0,0,0,0,0,0,2573,2000,500,459,500,500,48559,47008,15435,10235,9119,8237,1,graduate school,0
150000,2,2,30,0,0,0,0,0,0,5520,5200,5100,5300,10900,0,150426,151052,143488,142419,145100,153229,1,graduate school,0
60000,1,2,30,0,0,2,0,0,0,6000,0,2000,3000,2300,2000,46307,51232,50109,50979,52998,54264,1,graduate school,0
330000,2,1,31,0,0,0,0,0,0,1700,1700,1700,1000,1000,1211,22285,23111,23622,23253,22525,22419,1,graduate school,0
20000,1,2,29,0,0,0,2,0,0,1600,3170,0,1000,1000,3000,13835,14897,17512,16926,17368,17959,1,graduate school,0
150000,2,1,45,0,0,0,0,0,0,3575,3647,3678,3793,3835,3952,123580,126136,128709,131292,134011,136711,1,graduate school,0
220000,2,2,52,0,0,0,0,0,0,6046,5600,5000,8000,6000,3736,127624,125718,125917,124683,127890,131520,2,university,0
230000,2,2,38,0,0,0,0,0,0,3867,3941,4123,4267,4300,4084,104364,106549,108719,111039,113365,115625,2,university,0
10000,1,2,27,0,0,2,0,0,0,3507,0,500,370,393,700,7015,10227,9560,9901,9963,10182,2,university,1
140000,2,2,36,0,0,2,2,0,0,12800,5000,0,5100,5000,5000,134783,142708,143475,136331,135778,135910,2,university,0
50000,1,2,25,0,0,-1,0,0,-1,0,14805,294,300,498,1003,27206,0,14805,14699,14999,497,2,university,0
420000,2,2,32,0,0,0,0,0,0,7300,8839,8000,5900,6000,6000,211688,205003,203118,198925,175684,164037,2,university,0
50000,1,1,41,0,0,0,0,0,0,2500,2500,3000,1500,2000,3000,43607,45375,46836,48635,19373,20129,2,university,0
30000,2,2,50,0,0,0,0,0,0,1389,1602,1563,8500,1100,500,25416,26260,24084,23631,29863,29369,2,university,0
30000,2,2,24,0,0,0,0,0,0,10000,2061,1200,551,0,0,23729,27889,29500,29639,27546,6718,2,university,1
50000,1,1,40,0,0,0,0,0,0,1691,1942,1296,674,693,1000,49073,49531,44002,44356,19344,19354,2,university,0
50000,2,2,23,0,0,0,0,0,0,1748,1408,1000,1000,1000,1000,49026,48983,38417,27038,26254,26352,2,university,0
250000,2,2,26,0,0,0,0,0,0,2667,2700,3000,5000,2800,1800,70522,72062,73511,75314,74172,71933,2,university,0
140000,1,2,62,0,0,0,0,0,0,4839,5000,5000,7500,7000,5029,143107,138581,123491,118886,117059,117405,2,university,0
50000,2,1,45,0,0,0,0,0,0,2080,1690,1458,1100,1076,1094,48875,50103,46641,31459,28901,29523,2,university,0
30000,1,2,29,0,0,-1,-1,0,-1,1000,3126,7365,0,828,8511,7965,3101,3126,7365,3245,828,2,university,0
80000,2,1,55,0,0,0,0,0,0,2500,2000,2000,2000,2000,2000,69116,64325,59653,55159,56277,57347,3,high school,0
100000,2,1,26,0,0,0,0,0,0,5000,2500,3000,1597,2457,5660,45807,47099,40027,37735,35437,34155,3,high school,0
70000,2,3,58,0,0,0,0,0,0,2418,2500,2456,2500,3000,2533,70012,67714,68412,69016,69701,70898,3,high school,0
100000,1,1,45,0,0,0,0,0,0,5000,5000,3203,2103,50000,0,94502,95697,98222,90500,82586,22620,5,unknown,0
400000,1,2,34,0,0,0,0,0,0,10016,6000,10000,10000,5000,4000,26912,24967,13810,18230,25050,10209,1,graduate school,0
200000,2,1,31,0,0,2,2,0,0,6808,3300,0,2720,2700,2700,76621,82105,80662,75942,74090,72679,1,graduate school,0
100000,2,2,30,0,0,-2,-1,0,0,0,0,74550,3000,3000,3500,41150,0,0,74550,75731,75975,1,graduate school,0
100000,2,2,28,0,0,0,0,0,0,1539,1124,495,500,758,0,16601,14414,11307,11139,11361,9816,1,graduate school,0
260000,2,2,24,0,0,0,0,0,0,2500,4000,4000,3835,3805,3000,68411,60386,48663,50998,53835,56728,2,university,0
140000,1,1,29,0,0,0,0,0,0,6696,5000,4866,5300,5055,5000,130767,134946,130470,132038,131961,124256,2,university,0
50000,1,3,51,0,0,0,0,0,0,4000,1565,641,648,654,649,79502,65237,64426,18430,18020,17991,2,university,0
250000,2,2,26,0,0,0,0,0,-1,1500,1500,5645,500,1547,0,46467,17787,18852,24097,19152,1547,2,university,0
180000,2,2,49,0,0,0,0,0,0,1600,1600,1500,1000,968,1000,56677,35062,32721,32627,28272,26984,2,university,0
50000,1,1,43,0,0,0,0,0,0,1800,2200,1400,582,580,30000,48919,48775,48731,48934,29116,28999,2,university,0
20000,2,2,29,0,0,0,0,0,0,3000,5007,3000,3000,3000,3000,17648,13580,14204,15345,17764,20049,2,university,0
140000,1,2,44,0,0,0,0,0,0,6104,7000,5518,2933,3100,3502,129301,129885,131886,133105,78607,78773,2,university,0
60000,2,2,23,0,0,0,2,0,0,2000,4000,0,2000,3000,0,22241,22719,25585,24053,17154,19316,2,university,0
170000,1,2,31,0,0,0,0,0,2,46000,10002,3046,5000,0,10000,136330,173367,160847,87399,74761,67855,2,university,0
140000,1,1,42,0,0,0,0,0,0,4325,4558,6300,4221,4500,4600,139227,120780,123390,127557,117961,120570,2,university,0
80000,2,2,23,0,0,2,0,0,0,5573,5,2000,1000,132,1998,54658,45978,32431,27674,23304,6586,2,university,0
80000,2,1,29,0,0,2,2,0,0,5120,2600,0,2200,2028,3000,52533,56340,57022,55081,55350,55906,2,university,0
180000,2,1,35,0,0,0,0,0,2,7002,1807,2000,4000,0,33000,175200,175285,60790,50479,28739,18037,3,high school,1
50000,1,1,38,0,0,0,0,0,0,3000,2000,2000,2000,2000,2000,31304,33479,34617,35735,37154,38380,3,high school,0
20000,1,1,40,0,0,0,0,0,0,1153,2000,2000,1000,800,1000,8151,9011,10858,12670,13157,13742,3,high school,0
130000,2,2,26,2,0,0,0,0,0,6000,5200,5000,3500,3622,3920,130535,127155,126264,128318,96428,98156,2,university,1
30000,1,2,22,2,0,0,0,0,0,1704,1250,390,115,0,0,28328,29505,25362,19493,5765,0,3,high school,0
70000,2,2,24,-1,0,0,0,0,0,2000,3000,3000,2000,2000,3668,28059,17712,18642,20011,19147,19056,1,graduate school,0
90000,2,2,41,-1,0,0,0,0,0,2281,1219,1164,556,595,480,48276,47820,46602,47141,16114,15825,2,university,0
130000,2,2,23,-1,0,0,0,0,0,10000,5000,2000,2000,2000,1000,5719,15578,19887,11659,11735,8541,3,high school,0
380000,1,2,33,0,0,0,0,0,0,10000,5000,5000,10000,10000,10000,70591,76715,80080,81162,89571,96627,1,graduate school,0
120000,1,2,26,0,0,0,0,0,0,5000,4200,2000,1300,6000,6000,19544,24230,28022,29249,29926,35357,1,graduate school,0
150000,1,2,33,0,0,0,0,0,0,5000,10116,5000,6000,3000,7000,78038,63176,52807,34199,32061,23682,1,graduate school,0
50000,1,1,25,0,0,2,0,0,0,1500,1000,2000,1000,1000,2000,5472,5891,6595,8400,4041,4815,1,graduate school,0
500000,2,1,34,0,0,0,0,0,0,15000,30007,30000,50000,5000,5000,30376,32715,60927,76088,110294,108964,1,graduate school,0
210000,2,2,31,0,0,0,0,0,0,6000,6000,4000,5000,4000,0,202064,206107,174581,176527,181127,172851,1,graduate school,0
470000,2,1,28,0,0,0,0,0,0,6100,6000,7100,5100,5200,4900,178262,177644,171997,165014,158839,148035,1,graduate school,0
460000,1,1,49,0,0,0,0,0,0,13200,14000,11500,10500,10500,10000,293429,295998,295807,291616,289529,289449,1,graduate school,0
360000,1,1,36,0,0,0,0,0,0,3000,3000,3000,5000,5000,5000,28291,31055,33788,36491,41179,45823,1,graduate school,0
240000,2,2,25,0,0,0,0,0,0,6500,7000,6680,7070,6954,14870,175764,178600,182639,186275,190337,193961,2,university,0
260000,2,2,30,0,0,0,0,0,0,2000,3000,3000,3000,3000,3000,19674,17810,19753,21550,21032,19979,2,university,0
30000,1,2,47,0,0,0,0,0,0,1895,1539,1089,718,400,5000,29554,28893,29537,30087,17534,15145,2,university,0
100000,1,2,25,0,0,0,0,0,0,3200,3155,3504,3001,3301,2839,86098,85014,86735,87321,82289,83850,2,university,0
90000,2,2,23,0,0,0,0,0,0,4200,4100,3307,3405,3311,6204,91653,88619,90298,91343,90887,90858,2,university,0
20000,2,2,48,0,0,0,2,0,0,1562,2301,0,610,604,779,14218,15247,16986,16418,16615,16944,2,university,1
20000,1,1,31,0,0,0,0,0,0,1239,1254,1111,243,400,252,3769,4782,5797,6654,6786,7077,2,university,1
290000,2,2,41,0,0,0,0,0,0,10000,5620,10000,20000,10000,10000,286391,140960,112394,113459,123967,131735,2,university,0
210000,1,2,31,0,0,0,0,0,0,5000,4200,3100,3000,3100,3000,189650,127111,93208,88223,84175,80305,2,university,0
70000,2,1,47,0,0,0,0,0,-2,3158,10000,2446,11790,430,423,136809,118811,52953,53696,11790,12045,2,university,0
80000,1,1,49,0,0,0,0,0,0,2911,1920,1541,1502,1619,1472,71775,68083,50642,47283,42340,40223,2,university,0
160000,2,1,42,0,0,0,0,0,0,8450,5289,4022,4195,3986,3958,165686,169969,170142,119529,122059,111378,2,university,1
20000,2,2,22,0,0,0,0,0,0,1466,2000,1000,600,0,0,20117,18784,19538,17958,4968,780,2,university,0
100000,2,2,34,0,0,0,0,0,0,4589,4516,3645,3649,3724,3236,104660,104108,102066,99186,97140,95123,2,university,0
200000,2,2,31,0,0,0,0,0,0,5000,30000,5809,4002,4500,4100,101431,102604,125731,120465,118759,119378,2,university,0
20000,2,2,25,0,0,0,0,0,0,2000,1376,1121,460,6000,624,18519,20195,19638,17198,14253,18475,2,university,0
50000,2,1,24,0,0,0,0,0,2,1523,1609,1500,2305,0,1701,46485,34462,26809,27809,29705,26856,2,university,0
320000,2,1,34,0,0,0,0,0,0,3000,3000,3000,3000,3000,4000,3825,3835,6746,9472,11777,14282,2,university,0
100000,2,2,25,0,0,2,0,0,0,7497,0,3324,3442,3653,4449,87401,93476,91077,92885,94831,96907,2,university,1
160000,2,2,24,0,0,0,0,0,0,10000,4600,4800,5000,3000,1000,153470,151486,153378,93971,96587,96623,3,high school,0
50000,1,1,47,0,0,2,0,0,0,2000,1000,1000,1000,1000,1000,13244,14722,15181,15928,16671,17393,3,high school,0
90000,2,2,26,0,0,0,0,0,0,3000,3000,1000,500,1000,86500,91564,43201,42219,1769,2269,3269,3,high school,0
30000,2,1,41,0,0,2,0,0,0,5002,7,1511,5005,5183,5108,30518,34984,30321,23610,20614,18873,3,high school,0
20000,2,2,22,0,0,0,0,0,0,1423,5000,400,200,0,0,28758,14780,18829,18401,3000,0,1,graduate school,0
780000,1,1,48,0,0,0,0,0,0,10000,15004,10000,8000,10028,7003,171459,178587,190663,195124,184872,191090,1,graduate school,0
360000,2,2,32,0,0,0,0,0,0,10130,12649,8916,7725,8900,6956,272112,272444,256974,241226,241673,233157,1,graduate school,0
10000,1,2,25,0,0,0,0,0,0,1112,1143,1500,324,500,377,5642,6652,7683,9040,9222,9580,1,graduate school,0
260000,2,2,26,0,0,0,0,0,0,10368,15186,14614,7211,7850,6912,238110,244368,245186,254614,176211,180845,1,graduate school,0
260000,2,2,26,0,0,0,0,0,0,5033,5046,4573,4000,3800,4000,144112,144619,142380,141746,112938,110346,1,graduate school,0
310000,2,2,29,0,0,0,0,0,0,14750,5000,24000,10000,10000,30000,29906,14780,18261,41540,50803,59927,1,graduate school,0
130000,2,2,23,0,0,0,0,0,0,4752,5010,2505,2700,2623,2800,133622,129784,126021,70186,71762,73192,2,university,0
160000,1,2,37,0,0,0,0,0,0,6008,6011,3606,3803,4003,3311,119165,118392,117553,113256,112678,111924,2,university,0
50000,1,1,41,0,0,0,0,0,0,1803,1988,1514,1041,1056,1078,49401,50079,50463,49407,29708,29308,2,university,1
160000,1,2,37,0,0,0,0,0,0,5019,5000,4156,4500,4500,4000,140266,133372,129619,116388,114022,111743,2,university,0
80000,2,2,26,0,0,0,0,0,0,3100,4700,4800,1200,3260,2000,77760,79248,120697,60989,41023,42663,2,university,1
500000,2,1,33,0,0,0,0,0,-1,15021,1408,392,7000,4528,22021,48415,50588,32091,19615,23084,4528,2,university,0
30000,2,2,22,0,0,0,0,0,0,1712,1774,1415,955,991,1358,24426,25429,26491,27132,27672,28253,2,university,0
250000,2,1,55,0,0,0,0,0,0,8000,7400,9700,5100,4500,4012,296963,237684,178151,180993,155516,125063,3,high school,1
80000,1,1,29,0,0,0,0,0,0,3006,2641,2827,2671,2611,2417,80534,78179,79348,81099,80540,67069,5,unknown,0
220000,1,1,48,2,0,0,0,0,0,10000,9020,6000,5500,6000,5500,210380,213522,201852,169115,172169,162402,1,graduate school,1
80000,2,2,65,2,0,0,0,0,0,3900,4000,2048,1300,1700,401,85882,84985,84247,81619,30095,20639,3,high school,0
210000,1,1,31,2,0,0,0,0,-1,9234,5185,4900,4526,21787,152951,195615,199825,124788,126946,93925,-285,5,unknown,0
140000,2,2,25,0,0,0,0,0,0,2000,2000,1500,2000,2200,2000,23409,24725,26006,26771,28179,29746,1,graduate school,0
360000,2,2,27,0,0,0,0,0,0,20006,25006,20200,40000,0,0,119138,100553,96679,79703,71682,24230,1,graduate school,0
470000,1,2,35,0,0,0,0,0,0,15107,13111,10000,10014,9598,10044,393780,371511,318025,248281,254175,256613,1,graduate school,0
120000,1,1,45,0,0,0,0,0,2,5700,6000,5000,10000,0,4500,117775,117106,118207,116885,123040,120546,1,graduate school,0
200000,1,2,33,0,0,0,2,0,0,5000,5700,2000,3000,2000,1000,54713,58184,62286,61305,62846,42634,1,graduate school,0
100000,2,2,29,0,0,0,0,0,0,4000,3105,4069,3000,2500,2000,75012,77784,73535,72067,59495,56850,2,university,0
50000,2,1,48,0,0,0,0,0,-1,2500,2174,2117,117,4853,0,46589,48009,48942,36545,5107,4640,2,university,0
420000,1,1,38,0,0,0,0,0,0,10433,12000,13302,7002,6500,7000,293402,297672,304702,311889,182087,185152,2,university,0
280000,2,2,26,0,0,0,0,0,0,3165,20014,50014,5015,4518,4609,70219,69487,85733,131138,131414,130758,2,university,0
50000,1,1,38,0,0,0,0,0,0,1500,1200,2500,618,4000,3000,50748,48626,20712,17834,18248,19390,2,university,0
150000,1,1,66,0,0,0,0,0,0,4942,4875,4085,4113,4074,4820,190790,167666,145132,148054,146358,145253,2,university,0
140000,2,2,27,0,0,0,0,0,0,6700,6704,5000,4155,4100,3600,134936,137328,138767,137231,128228,110803,2,university,0
50000,2,2,35,0,0,0,0,0,0,1550,1700,1300,900,800,800,13517,14536,15694,16431,17056,17581,2,university,0
20000,1,2,34,0,0,0,2,0,0,2000,2500,1000,1000,1000,2000,17676,17650,18740,18373,18768,19315,2,university,0
80000,1,2,27,0,0,0,0,0,0,4000,3662,4000,2500,4509,2309,58323,60741,62813,65151,66568,70168,3,high school,0
70000,2,2,24,0,0,0,0,0,0,3000,4000,3200,3000,3000,3000,69039,68609,69217,69327,68582,68677,3,high school,0
40000,2,2,43,0,0,0,0,0,-2,1303,1665,1000,0,0,0,26449,22072,19085,17550,0,0,3,high school,0
30000,2,2,25,0,0,0,0,0,0,5000,1000,326,292,0,0,25366,27626,22034,16312,14614,0,3,high school,0
50000,2,1,37,0,0,0,0,0,0,1964,1701,1697,1548,1620,1774,39804,41106,41843,42839,43690,44232,3,high school,0
80000,2,2,23,2,0,0,0,0,0,3139,4000,3000,2000,2000,0,71975,64153,47680,33336,24439,26187,2,university,1
120000,1,1,36,-1,0,0,0,0,0,2000,1600,1200,1500,2000,1500,31218,32319,32687,32972,33559,34604,3,high school,0
170000,1,2,39,0,0,0,0,0,0,13000,6154,15000,6000,7000,5000,171160,187853,171095,137986,141319,139463,1,graduate school,0
220000,1,2,48,0,0,0,2,0,0,6000,16000,0,5000,6300,3000,115294,117945,130365,126780,129570,133553,1,graduate school,0
50000,1,2,23,0,0,0,0,0,0,1806,1612,1500,652,828,957,34376,35300,32106,32994,18220,18755,1,graduate school,0
130000,2,2,29,0,0,2,0,0,0,8901,0,3401,3509,3671,3240,93761,100172,97727,98588,97129,98016,1,graduate school,0
170000,1,1,34,0,0,0,0,0,0,2005,2000,1514,1006,1000,220,53145,52131,45987,35377,29141,21955,1,graduate school,0
280000,1,2,30,0,0,0,0,0,0,5000,4000,8000,5000,5000,18000,100740,104055,106380,112596,114235,117232,1,graduate school,0
240000,2,2,28,0,0,0,0,0,0,7500,8000,8400,6000,5200,5000,203850,203979,204712,205344,152992,140128,1,graduate school,0
90000,2,1,29,0,0,0,0,0,0,10400,3400,36139,618,3200,8500,4034,11387,4387,35670,41995,35912,1,graduate school,0
70000,2,2,27,0,0,0,0,0,0,5000,20000,10000,6000,5000,8000,42825,47047,62703,28945,16345,21163,1,graduate school,0
70000,1,2,24,0,0,0,0,0,-1,5328,4000,3000,3007,6060,5133,12109,15328,16854,16741,15154,6060,1,graduate school,0
170000,2,2,26,0,0,0,0,0,0,1808,1054,207,151,147,100,22138,23227,18894,7695,4777,3517,1,graduate school,0
260000,2,2,31,0,0,0,0,0,0,4000,4000,4007,13990,2056,2623,69343,70585,71430,73837,73271,74266,1,graduate school,0
50000,2,1,47,0,0,0,0,0,0,2355,1064,140,296,296,301,44624,45128,3837,3913,4146,4225,2,university,1
